name_BDM,name_Zeuss
Adscita statices,NA
Aricia eumedon,Eumedonia eumedon
Aricia nicias,Pseudaricia nicias
Boloria dia,Clossiana dia
Boloria euphrosyne,NA
Boloria selene,Clossiana selene
Boloria thore,Clossiana thore
Boloria titania,Clossiana titania
Brintesia circe,Kanetisa circe
Cacyreus marshalli,NA
Carcharodus floccifera,Carcharodus flocciferus
Colias croceus,Colias crocea
Cupido alcetas,Everes alcetas
Cupido argiades,Everes argiades
Euchloe simplonia,NA
Euphydryas aurinia,Eurodryas aurinia
Euphydryas cynthia,Hypodryas cynthia
Euphydryas intermedia,Hypodryas intermedia
Hipparchia genava,Hipparchia alcyone
Hipparchia statilinus,Neohipparchia statilinus
Inachis io,NA
Iphiclides podalirius,NA
Jordanita globulariae,NA
Libythea celtis,NA
Limenitis camilla,NA
Limenitis reducta,NA
Maculinea telejus,Maculinea telejus
Melitaea asteria,Mellicta asteria
Melitaea athalia,Mellicta athalia
Melitaea aurelia,Mellicta aurelia
Melitaea deione,Mellicta deione
Melitaea parthenoides,Mellicta parthenoides
Melitaea varia,Mellicta varia
Minois dryas,NA
Neozephyrus quercus,Quercusia quercus
Neptis rivularis,NA
Nymphalis antiopa,NA
Nymphalis polychloros,NA
Ochlodes venata,Ochlodes venatus
Papilio machaon,NA
Pieris napi,Artogeia napi
Pieris rapae,Artogeia rapae
Plebeius argus,Plebejus argus
Plebeius glandon,Agriades glandon
Plebeius idas,Plebejus idas
Plebeius optilete,NA
Plebeius orbitulus,Albulina orbitulus
Polyommatus amandus,Agrodiaetus amanda
Polyommatus bellargus,Lysandra bellargus
Polyommatus coridon,Lysandra coridon
Polyommatus damon,Agrodiaetus damon
Polyommatus daphnis,Meleageria daphnis
Polyommatus dorylas,Plebicula dorylas
Polyommatus escheri,Agrodiaetus escheri
Polyommatus semiargus,Cyaniris semiargus
Polyommatus thersites,Agrodiaetus thersites
Pontia edusa,Pontia daplidice
Vanessa atalanta,NA
Vanessa cardui,NA
Zygaena carniolica,NA
Zygaena ephialtes,NA
Zygaena exulans,NA
Zygaena fausta,NA
Zygaena filipendulae,NA
Zygaena lonicerae,NA
Zygaena loti,NA
Zygaena minos,NA
Zygaena osterodensis,NA
Zygaena purpuralis,NA
Zygaena romeo,NA
Zygaena transalpina,NA
Zygaena trifolii,NA
Zygaena viciae,NA
